split,dataset_id,split_group,origin,primary,domain,source,license,sha256,bytes,sealed,path,legacy_observed
development,dev-control-gzip,legacy-synthetic-seed-1297748005,control,false,incompressible-control-gzip,python/mathzip_bench/synthetic.py; manifest=datasets/synthetic/manifest.json; seed=1297748005,Generated by MathZip; CC0-1.0,ab545521dc21c86b30902df6c808b2b1a3edee967ae54d439b56bd003bd4daa8,4770,false,datasets/synthetic/already_compressed/s0000065536_gzip.gz,true
development,dev-control-xz,legacy-synthetic-seed-1297748005,control,false,incompressible-control-xz,python/mathzip_bench/synthetic.py; manifest=datasets/synthetic/manifest.json; seed=1297748005,Generated by MathZip; CC0-1.0,d35c28c81a583d6f927c1692957122eac5c5b7d48e9b9057d23850e560df2ce3,4544,false,datasets/synthetic/already_compressed/s0000065536_xz.xz,true
development,dev-control-zip,legacy-synthetic-seed-1297748005,control,false,incompressible-control-zip,python/mathzip_bench/synthetic.py; manifest=datasets/synthetic/manifest.json; seed=1297748005,Generated by MathZip; CC0-1.0,219f1bfaf4ff459515082e2f47aa88593a0e42bebabd4d004688518d20c89ea3,4872,false,datasets/synthetic/already_compressed/s0000065536_zip.zip,true
development,dev-derived-git-snapshot-stream,legacy-generated-seed-1297748005,derived,false,derived-version-snapshot,python/mathzip_bench/auxiliary.py; manifest=datasets/generated/git_snapshots/manifest.json; seed=1297748005,CC0-1.0,597185aab6e3921b9ffca6204590d8a4be0d52d30e23107642bb65c35c1f103a,151040,false,datasets/generated/git_snapshots/combined/all_versions.bin,true
development,dev-derived-mixed-sqlite,legacy-generated-seed-1297748005,derived,false,derived-mixed-sqlite,python/mathzip_bench/auxiliary.py; manifest=datasets/generated/mixed/manifest.json; seed=1297748005,CC0-1.0 for generated source/data; toolchain output is generated from CC0 source,9306994ed2d662412fb4add2c23a87cde9bd5536c3f371aaf56a78e055c9283a,118784,false,datasets/generated/mixed/files/sample.sqlite,true
development,dev-enwik8-enwik8,legacy-enwik8,real,true,standard-text,https://www.mattmahoney.net/dc/textdata.html,Derived from Wikipedia; consult the upstream dump and Wikimedia licensing terms.,2b49720ec4d78c3c9fabaee6e4179a5e997302b3a70029f30f2d582218c024a8,100000000,false,datasets/data/enwik8/enwik8,true
development,dev-enwik9-enwik9,legacy-enwik9,real,true,standard-text,https://www.mattmahoney.net/dc/textdata.html,Derived from Wikipedia; consult the upstream dump and Wikimedia licensing terms.,159b85351e5f76e60cbe32e04c677847a9ecba3adc79addab6f4c6c7aa3744bc,1000000000,false,datasets/data/enwik9/enwik9,true
development,dev-pizza-chili-world-leaders,legacy-pizza-chili,real,true,standard-text,https://pizzachili.dcc.uchile.cl/repcorpus.html,The selected source has upstream provenance and terms; consult Pizza & Chili before redistribution.,ba646c174ebd92e3f13cb603d47a8d8f18008d38b840fc44f24c7ab0ebcdb3c6,46968181,false,datasets/data/pizza_chili/world_leaders,true
development,dev-silesia-dickens,legacy-silesia,real,true,standard-text,https://sun.aei.polsl.pl/~sdeor/index.php?page=silesia,The corpus aggregates independently sourced files. Consult the upstream Silesia description for per-file provenance and redistribution terms.,b24c37886142e11d0ee687db6ab06f936207aa7f2ea1fd1d9a36763c7a507e6a,10192446,false,datasets/data/silesia/dickens,true
development,dev-silesia-mozilla,legacy-silesia,real,true,real-mixed-executable,https://sun.aei.polsl.pl/~sdeor/index.php?page=silesia,The corpus aggregates independently sourced files. Consult the upstream Silesia description for per-file provenance and redistribution terms.,657fc3764b0c75ac9de9623125705831ebbfbe08fed248df73bc2dc66e2a963b,51220480,false,datasets/data/silesia/mozilla,true
development,dev-silesia-mr,legacy-silesia,real,true,structured-medical-binary,https://sun.aei.polsl.pl/~sdeor/index.php?page=silesia,The corpus aggregates independently sourced files. Consult the upstream Silesia description for per-file provenance and redistribution terms.,68637ed52e3e4860174ed2dc0840ac77d5f1a60abbcb13770d5754e3774d53e6,9970564,false,datasets/data/silesia/mr,true
development,dev-silesia-nci,legacy-silesia,real,true,real-mixed-database,https://sun.aei.polsl.pl/~sdeor/index.php?page=silesia,The corpus aggregates independently sourced files. Consult the upstream Silesia description for per-file provenance and redistribution terms.,fc63a31770947b8c2062d3b19ca94c00485a232bb91b502021948fee983e1635,33553445,false,datasets/data/silesia/nci,true
development,dev-silesia-ooffice,legacy-silesia,real,true,real-mixed-shared-library,https://sun.aei.polsl.pl/~sdeor/index.php?page=silesia,The corpus aggregates independently sourced files. Consult the upstream Silesia description for per-file provenance and redistribution terms.,e7ee013880d34dd5208283d0d3d91b07f442e067454276095ded14f322a656eb,6152192,false,datasets/data/silesia/ooffice,true
development,dev-silesia-osdb,legacy-silesia,real,true,real-mixed-database,https://sun.aei.polsl.pl/~sdeor/index.php?page=silesia,The corpus aggregates independently sourced files. Consult the upstream Silesia description for per-file provenance and redistribution terms.,60f027179302ca3ad87c58ac90b6be72ec23588aaa7a3b7fe8ecc0f11def3fa3,10085684,false,datasets/data/silesia/osdb,true
development,dev-silesia-reymont,legacy-silesia,real,true,standard-text,https://sun.aei.polsl.pl/~sdeor/index.php?page=silesia,The corpus aggregates independently sourced files. Consult the upstream Silesia description for per-file provenance and redistribution terms.,0eac0114a3dfe6e2ee1f345a0f79d653cb26c3bc9f0ed79238af4933422b7578,6627202,false,datasets/data/silesia/reymont,true
development,dev-silesia-samba,legacy-silesia,real,true,real-mixed-source,https://sun.aei.polsl.pl/~sdeor/index.php?page=silesia,The corpus aggregates independently sourced files. Consult the upstream Silesia description for per-file provenance and redistribution terms.,93ba07bc44d8267789c1d911992f40b089ffa2140b4a160fac11ccae9a40e7b2,21606400,false,datasets/data/silesia/samba,true
development,dev-silesia-sao,legacy-silesia,real,true,structured-scientific-binary,https://sun.aei.polsl.pl/~sdeor/index.php?page=silesia,The corpus aggregates independently sourced files. Consult the upstream Silesia description for per-file provenance and redistribution terms.,c2d0ea2cc59d4c21b7fe43a71499342a00cbe530a1d5548770e91ecd6214adcc,7251944,false,datasets/data/silesia/sao,true
development,dev-silesia-webster,legacy-silesia,real,true,standard-text,https://sun.aei.polsl.pl/~sdeor/index.php?page=silesia,The corpus aggregates independently sourced files. Consult the upstream Silesia description for per-file provenance and redistribution terms.,6a68f69b26daf09f9dd84f7470368553194a0b294fcfa80f1604efb11143a383,41458703,false,datasets/data/silesia/webster,true
development,dev-silesia-x-ray,legacy-silesia,real,true,structured-medical-binary,https://sun.aei.polsl.pl/~sdeor/index.php?page=silesia,The corpus aggregates independently sourced files. Consult the upstream Silesia description for per-file provenance and redistribution terms.,7de9fce1405dc44ae5e6813ed21cd5751e761bd4265655a005d39b9685d1c9ad,8474240,false,datasets/data/silesia/x-ray,true
development,dev-silesia-xml,legacy-silesia,real,true,real-mixed-xml,https://sun.aei.polsl.pl/~sdeor/index.php?page=silesia,The corpus aggregates independently sourced files. Consult the upstream Silesia description for per-file provenance and redistribution terms.,0e82e54e695c1938e4193448022543845b33020c8be6bf3bf3ead2224903e08c,5345280,false,datasets/data/silesia/xml,true
development,dev-synthetic-constant-00,legacy-synthetic-seed-1297748005,synthetic,false,synthetic-diagnostic,python/mathzip_bench/synthetic.py; manifest=datasets/synthetic/manifest.json; seed=1297748005,Generated by MathZip; CC0-1.0,de2f256064a0af797747c2b97505dc0b9f3df0de4f489eac731c23ae9ca9cc31,65536,false,datasets/synthetic/constant_00/s0000065536_n000p000_seed1297748005.bin,true
development,dev-synthetic-lfsr8,legacy-synthetic-seed-1297748005,synthetic,false,synthetic-diagnostic,python/mathzip_bench/synthetic.py; manifest=datasets/synthetic/manifest.json; seed=1297748005,Generated by MathZip; CC0-1.0,c22f599374ecb687cb2737130592553d274b26414a1c37bb1d36a02a3e7cdb64,65536,false,datasets/synthetic/lfsr8/s0000065536_n000p000_seed1297748005.bin,true
development,dev-synthetic-linear,legacy-synthetic-seed-1297748005,synthetic,false,synthetic-diagnostic,python/mathzip_bench/synthetic.py; manifest=datasets/synthetic/manifest.json; seed=1297748005,Generated by MathZip; CC0-1.0,35171a3b38d84c658143e78203683076d07beca32140221055c899b2dcf1cbc5,65536,false,datasets/synthetic/linear/s0000065536_n000p000_seed1297748005.bin,true
development,dev-synthetic-linear-noise-0p001,legacy-synthetic-seed-1297748005,synthetic,false,synthetic-diagnostic-sparse-exceptions,python/mathzip_bench/synthetic.py; manifest=datasets/synthetic/manifest.json; seed=1297748005,Generated by MathZip; CC0-1.0,b8fc4cf0b6fb2508ed323ff8fc0843ef3bc1182bbdde1a2103e301fb31c65694,65536,false,datasets/synthetic/linear/s0000065536_n000p100_seed1297748005.bin,true
development,dev-synthetic-linear-noise-0p25,legacy-synthetic-seed-1297748005,synthetic,false,synthetic-diagnostic-noise-sweep,python/mathzip_bench/synthetic.py; manifest=datasets/synthetic/manifest.json; seed=1297748005,Generated by MathZip; CC0-1.0,3ee901511085ad64225f39f9cae6aa60a5e700034edabd456ebc4be7fadb4181,65536,false,datasets/synthetic/linear/s0000065536_n025p000_seed1297748005.bin,true
development,dev-synthetic-periodic,legacy-synthetic-seed-1297748005,synthetic,false,synthetic-diagnostic,python/mathzip_bench/synthetic.py; manifest=datasets/synthetic/manifest.json; seed=1297748005,Generated by MathZip; CC0-1.0,742efc49d53b0f51b7a9cdc8afdf6fb69b22e359571f016274fae0b527f1d1c8,65536,false,datasets/synthetic/periodic/s0000065536_n000p000_seed1297748005.bin,true
development,dev-synthetic-piecewise-mixed,legacy-synthetic-seed-1297748005,synthetic,false,synthetic-diagnostic,python/mathzip_bench/synthetic.py; manifest=datasets/synthetic/manifest.json; seed=1297748005,Generated by MathZip; CC0-1.0,38b3dc136b580000e98f02e075e2afc2aaa55e824df172b419522b9d70abe9ea,65536,false,datasets/synthetic/piecewise_mixed/s0000065536_n000p000_seed1297748005.bin,true
development,dev-synthetic-polynomial-d2,legacy-synthetic-seed-1297748005,synthetic,false,synthetic-diagnostic,python/mathzip_bench/synthetic.py; manifest=datasets/synthetic/manifest.json; seed=1297748005,Generated by MathZip; CC0-1.0,84d3c13eee3f79467573fc92d68af063eeeb786852df80299fe4c5e51659f4e3,65536,false,datasets/synthetic/polynomial_d2/s0000065536_n000p000_seed1297748005.bin,true
development,dev-synthetic-recurrence,legacy-synthetic-seed-1297748005,synthetic,false,synthetic-diagnostic,python/mathzip_bench/synthetic.py; manifest=datasets/synthetic/manifest.json; seed=1297748005,Generated by MathZip; CC0-1.0,8d5944aabf5526f28b79d4b3841ec21dbd86daac0caa96729fec8838039fdd69,65536,false,datasets/synthetic/recurrence/s0000065536_n000p000_seed1297748005.bin,true
development,development-control-generated-jpeg,legacy-generated-seed-1297748005,control,false,incompressible-control-jpeg,python/mathzip_bench/auxiliary.py; manifest=datasets/generated/mixed/manifest.json; version=seed=1297748005,CC0-1.0 for generated source/data; toolchain output is generated from CC0 source,0333acf899c8a49ad7eb7b0b76f8f1ab17e1090665d90c6182044c2df46d0a27,520,false,datasets/generated/mixed/files/sample.jpg,true
development,development-control-generated-mp4,legacy-generated-seed-1297748005,control,false,incompressible-control-mp4-av1,python/mathzip_bench/auxiliary.py; manifest=datasets/generated/mixed/manifest.json; version=seed=1297748005,CC0-1.0 for generated source/data; toolchain output is generated from CC0 source,7566e1e2a8403a2d3af20d4362646884cb81828d723779a202b2db58fc008959,65613,false,datasets/generated/mixed/files/sample.mp4,true
development,development-control-generated-png,legacy-generated-seed-1297748005,control,false,incompressible-control-png,python/mathzip_bench/auxiliary.py; manifest=datasets/generated/mixed/manifest.json; version=seed=1297748005,CC0-1.0 for generated source/data; toolchain output is generated from CC0 source,03047f7fa7423a4160b25556dd4a08c110d7dc88b00d4e1824dcf140659b4220,66618,false,datasets/generated/mixed/files/sample.png,true
development,development-control-generated-zstd,legacy-generated-seed-1297748005,control,false,incompressible-control-zstd,python/mathzip_bench/auxiliary.py; manifest=datasets/generated/mixed/manifest.json; version=seed=1297748005,CC0-1.0 for generated source/data; toolchain output is generated from CC0 source,4b028d1a7d7d6129eeb7d1da95888533ef4641d07eedfa1c8fe436b53affa624,89,false,datasets/generated/mixed/files/sample.zst,true
development,development-noaa-globaltemp-v5-1-0-netcdf,noaa-globaltemp-v5-1-0,real,true,real-climate-gridded-float-array-netcdf,https://www.ncei.noaa.gov/data/noaa-global-surface-temperature/v5.1/access/gridded/NOAAGlobalTemp_v5.1.0_gridded_s185001_e202312_c20240108T150239.nc; version=NOAAGlobalTemp v5.1.0; DOI 10.25921/2tj4-0e21; file creation 2024-01-08T15:02:39,U.S. Government Work (NOAA public data),fd14db28556b2d054774eebb02af4daf2da45d864ed5f293b2979209b0dffd59,21687376,false,datasets/data/corpus-completion/development/noaa-globaltemp-v5.1.0/NOAAGlobalTemp_v5.1.0_gridded_s185001_e202312_c20240108T150239.nc,false
development,development-stanford-bunny-1994-bun000-ply,stanford-3d-scanrep-bunny-1994,real,true,real-laser-range-scan-ply,https://graphics.stanford.edu/pub/3Dscanrep/bunny.tar.gz; version=Stanford Bunny raw Cyberware 3030 MS range scan; scanned 1994; archive modified 1998-12-05,Stanford 3D Scanning Repository research/non-commercial terms; attribution required,7d48f9fdf917311de680d074edce8aff25a4b9bfd87be9301822dace811209fb,1988159,false,datasets/data/corpus-completion/development/crates/bunny/data/bun000.ply,false
development,development-usgs-fs-2010-3086-pdf,usgs-fs-2010-3086,real,true,real-world-pdf-report,"https://pubs.usgs.gov/fs/2010/3086/pdf/fs2010-3086.pdf; version=USGS Fact Sheet 2010-3086; Pennsylvania StreamStats: A Water-Resources Web Application; PDF 1.5, 2 pages",U.S. Government Work (public domain),2542a8a5b4394db449db5d1baa3d289e14da40070c9a51bd4df10431d6dae317,452576,false,datasets/data/corpus-completion/development/usgs-fs-2010-3086/fs2010-3086.pdf,false
development,development-usgs-ofr-2006-1216-geotiff,usgs-ofr-2006-1216,real,true,real-raster-gis-uncompressed-geotiff,"https://pubs.usgs.gov/of/2006/1216/downloads/IMAGES/GEOTIFF/digital_elevation.tif; version=USGS Open-File Report 2006-1216, version 1.0",U.S. Government Work (public domain),d3411ad7d005b32c3850c63d8a8aa87111620a373799df261c383d482b4707dd,1938305,false,datasets/data/corpus-completion/development/usgs-ofr-2006-1216/digital_elevation.tif,false
development,development-wikimedia-enwiki-20260701-protected-titles-sql,wikimedia-enwiki-20260701-protected-titles,real,true,real-world-mariadb-database-dump-sql,https://dumps.wikimedia.org/enwiki/20260701/enwiki-20260701-protected_titles.sql.gz; version=English Wikipedia database dump 2026-07-01; protected_titles table; MariaDB dump completed 2026-07-07T17:40:54Z,CC BY-SA 4.0 / GFDL as applicable; see Wikimedia Foundation licensing terms,660ee2daf1e2ab9a435b484d924b0bb892f461682cf598d77becfef2a28ea364,4455489,false,datasets/data/corpus-completion/development/wikimedia/enwiki-20260701-protected_titles.sql,false
development,development-zenodo-uav-drone1-message-1752507115773,zenodo-15912415-uav-telemetry,real,true,real-uav-flight-telemetry-json,https://zenodo.org/api/records/15912415/files/telemetry_UAV_plan.zip/content; version=Zenodo record 15912415; DOI 10.5281/zenodo.15912415; published 2025-07-15,CC BY 4.0,b15aa63a0618532cc18c271c759185ddaba330284c10d96f1a8dc6ab2ed7b097,439,false,datasets/data/corpus-completion/development/zenodo-15912415/flightplan_drone1/message_1752507115773.json,false
development,development-zenodo-uav-drone1-message-1752507288092,zenodo-15912415-uav-telemetry,real,true,real-uav-flight-telemetry-json,https://zenodo.org/api/records/15912415/files/telemetry_UAV_plan.zip/content; version=Zenodo record 15912415; DOI 10.5281/zenodo.15912415; published 2025-07-15,CC BY 4.0,e34464977a5b2f056e9927939824b3cf7d3cfb1c0c9af4967a21cb96ee979abb,922,false,datasets/data/corpus-completion/development/zenodo-15912415/flightplan_drone1/message_1752507288092.json,false
development,development-zenodo-uav-drone2-message-1752507693033,zenodo-15912415-uav-telemetry,real,true,real-uav-flight-telemetry-json,https://zenodo.org/api/records/15912415/files/telemetry_UAV_plan.zip/content; version=Zenodo record 15912415; DOI 10.5281/zenodo.15912415; published 2025-07-15,CC BY 4.0,38f939f81b0a10ccaff1729ee384b0b61e9e998e8a70a7a87c9d40012c43e4d3,1121,false,datasets/data/corpus-completion/development/zenodo-15912415/flightplan_drone2/message_1752507693033.json,false
development,development-zenodo-uav-drone2-message-1752507889384,zenodo-15912415-uav-telemetry,real,true,real-uav-flight-telemetry-json,https://zenodo.org/api/records/15912415/files/telemetry_UAV_plan.zip/content; version=Zenodo record 15912415; DOI 10.5281/zenodo.15912415; published 2025-07-15,CC BY 4.0,68e41ba218faf5f47e402801a277d2ecd190f5b0d4b0ab9689278047a1c8eeff,1099,false,datasets/data/corpus-completion/development/zenodo-15912415/flightplan_drone2/message_1752507889384.json,false
development,development-zenodo-uav-drone2-message-1752508085725,zenodo-15912415-uav-telemetry,real,true,real-uav-flight-telemetry-json,https://zenodo.org/api/records/15912415/files/telemetry_UAV_plan.zip/content; version=Zenodo record 15912415; DOI 10.5281/zenodo.15912415; published 2025-07-15,CC BY 4.0,f46f51858e66110443b5ae43f849bb2a7bdc1e919773e734090296c4cfb13618,1087,false,datasets/data/corpus-completion/development/zenodo-15912415/flightplan_drone2/message_1752508085725.json,false
